,Max Proba
Tregnaive_MAPKAPK2_Unstim,0.6685
CD8Tem_Frequency_Unstim,0.378
Th1mem_S6_Unstim,0.315
intMC_Frequency_Unstim,0.304
CD8Trm_MAPKAPK2_Unstim,0.2795
CD4Tnaive_Frequency_Unstim,0.268
Th1mem_STAT5_Unstim,0.267
CD4Tcm_Frequency_Unstim,0.258
pDC_Frequency_Unstim,0.236
Baso +++_IkB_Unstim,0.2345
gdT_Frequency_Unstim,0.23
Th1naive_ERK_Unstim,0.2295
Treg_STAT5_Unstim,0.2205
Baso_IkB_Unstim,0.2165
Tregnaive_STAT5_Unstim,0.2155
Granulocytes_S6_Unstim,0.2135
Th1mem_pSTAT6_Unstim,0.212
Tregmem_STAT5_Unstim,0.211
Th1naive_pSTAT6_Unstim,0.208
Th1naive_S6_Unstim,0.2075
CD4Tnaive_STAT3_Unstim,0.206
CD56dimCD16pos-NK_Frequency_Unstim,0.2025
Th1naive_STAT3_Unstim,0.1985
Th1mem_ERK_Unstim,0.1945
Bcells_Frequency_Unstim,0.189
Th2_pSTAT6_Unstim,0.187
Th1mem_STAT3_Unstim,0.1835
MDSC_MAPKAPK2_Unstim,0.1745
CD8Tcm_Frequency_Unstim,0.1655
Eosino_pSTAT6_Unstim,0.1555
CD4Trm_Frequency_Unstim,0.1545
Th1naive_STAT5_Unstim,0.1475
Granulocytes_Frequency_Unstim,0.1435
pDC_S6_Unstim,0.138
Th17_Frequency_Unstim,0.138
CD56brightCD16neg-NK_Frequency_Unstim,0.137
Th1naive_IkB_Unstim,0.1315
mDC_S6_Unstim,0.129
CD4Trm_STAT5_Unstim,0.1285
Tregmem_Frequency_Unstim,0.1265
Granulocytes_STAT3_Unstim,0.1235
CD8Tnaive_MAPKAPK2_Unstim,0.108
CD8Trm_pSTAT6_Unstim,0.105
Granulocytes_CREB_Unstim,0.1045
Th1naive_p38_Unstim,0.1035
NK-Tcells_Frequency_Unstim,0.1025
Th1_STAT5_Unstim,0.1025
Eosino_Frequency_Unstim,0.1015
CD4Tcm_STAT3_Unstim,0.0995
Th1naive_NFkB_Unstim,0.0985
Th1mem_IkB_Unstim,0.0955
Th1_STAT3_Unstim,0.0935
CD4Trm_pSTAT6_Unstim,0.091
CD8Tnaive_Frequency_Unstim,0.09
Th1mem_CREB_Unstim,0.0835
Th2_Frequency_Unstim,0.079
CD4Tnaive_STAT5_Unstim,0.077
Th1naive_MAPKAPK2_Unstim,0.0755
Th2_MAPKAPK2_Unstim,0.0735
CD4Tnaive_MAPKAPK2_Unstim,0.072
gdT_ERK_Unstim,0.0705
Baso +++_S6_Unstim,0.0695
CD8Tcm_MAPKAPK2_Unstim,0.0695
Th1mem_MAPKAPK2_Unstim,0.068
ncMC_Frequency_Unstim,0.0675
Th1_pSTAT6_Unstim,0.067
CD56dimCD16pos-NK_NFkB_Unstim,0.0665
Baso_S6_Unstim,0.0665
CD8Trm_Frequency_Unstim,0.066
pDC_IkB_Unstim,0.062
cMC_Frequency_Unstim,0.061
Th1mem_NFkB_Unstim,0.0595
