,Max Proba
Tregnaive_pSTAT6_Unstim,0.055
CD56brightCD16neg-NK_S6_Unstim,0.0545
Baso +++_STAT5_Unstim,0.0535
Th1_NFkB_Unstim,0.053
Baso_STAT5_Unstim,0.0525
Bcells_S6_Unstim,0.0515
MDSC_Frequency_Unstim,0.0505
mDC_NFkB_Unstim,0.0475
mDC_STAT3_Unstim,0.0475
CD4Tem_Frequency_Unstim,0.047
CD8Tem_CREB_Unstim,0.047
Baso_Frequency_Unstim,0.045
MDSC_STAT3_Unstim,0.045
NK-Tcells_pSTAT6_Unstim,0.0415
CD8Tnaive_S6_Unstim,0.0405
CD4Tcm_MAPKAPK2_Unstim,0.039
Treg_Frequency_Unstim,0.039
gdT_pSTAT6_Unstim,0.038
Treg_MAPKAPK2_Unstim,0.037
Th1naive_CREB_Unstim,0.037
CD4Tem_MAPKAPK2_Unstim,0.0365
Th17_pSTAT6_Unstim,0.034
CD4Tem_pSTAT6_Unstim,0.0335
cMC_STAT3_Unstim,0.0335
MDSC_S6_Unstim,0.0335
mDC_IkB_Unstim,0.032
pDC_CREB_Unstim,0.032
Th1_MAPKAPK2_Unstim,0.031
CD56brightCD16neg-NK_MAPKAPK2_Unstim,0.0305
NK-Tcells_NFkB_Unstim,0.0295
CD4Tnaive_S6_Unstim,0.0295
ncMC_NFkB_Unstim,0.029
intMC_IkB_Unstim,0.0285
gdT_CREB_Unstim,0.028
Baso +++_Frequency_Unstim,0.026
mDC_Frequency_Unstim,0.026
Th1_IkB_Unstim,0.026
Tregnaive_S6_Unstim,0.0255
Th1_CREB_Unstim,0.025
NK-Tcells_CREB_Unstim,0.025
Baso +++_CREB_Unstim,0.0245
mDC_MAPKAPK2_Unstim,0.0235
Eosino_S6_Unstim,0.0235
NK-Tcells_ERK_Unstim,0.022
Th1_S6_Unstim,0.022
Granulocytes_IkB_Unstim,0.021
CD4Trm_NFkB_Unstim,0.02
Baso +++_NFkB_Unstim,0.02
cMC_MAPKAPK2_Unstim,0.019
Eosino_MAPKAPK2_Unstim,0.0185
CD56brightCD16neg-NK_IkB_Unstim,0.0185
gdT_MAPKAPK2_Unstim,0.018
Eosino_CREB_Unstim,0.0175
Baso_CREB_Unstim,0.017
MDSC_NFkB_Unstim,0.017
ncMC_MAPKAPK2_Unstim,0.017
Baso_NFkB_Unstim,0.0165
NK-Tcells_MAPKAPK2_Unstim,0.0165
pDC_MAPKAPK2_Unstim,0.016
gdT_IkB_Unstim,0.0155
Granulocytes_NFkB_Unstim,0.0155
CD4Trm_MAPKAPK2_Unstim,0.0155
CD8Tnaive_IkB_Unstim,0.015
CD4Tcm_pSTAT6_Unstim,0.013
CD8Trm_NFkB_Unstim,0.013
Th2_NFkB_Unstim,0.013
Tregnaive_Frequency_Unstim,0.013
CD4Tnaive_pSTAT6_Unstim,0.013
MDSC_CREB_Unstim,0.012
Tregnaive_NFkB_Unstim,0.012
ncMC_CREB_Unstim,0.0115
Bcells_NFkB_Unstim,0.011
ncMC_IkB_Unstim,0.0105
gdT_NFkB_Unstim,0.01
CD8Trm_S6_Unstim,0.01
CD56brightCD16neg-NK_NFkB_Unstim,0.0095
pDC_NFkB_Unstim,0.009
Th1_ERK_Unstim,0.009
Th17_S6_Unstim,0.009
intMC_MAPKAPK2_Unstim,0.009
cMC_S6_Unstim,0.0085
gdT_S6_Unstim,0.0085
cMC_CREB_Unstim,0.0075
CD4Trm_IkB_Unstim,0.0075
CD4Trm_S6_Unstim,0.007
cMC_IkB_Unstim,0.007
Th17_MAPKAPK2_Unstim,0.006
intMC_NFkB_Unstim,0.0055
CD8Trm_IkB_Unstim,0.0055
CD8Tcm_NFkB_Unstim,0.005
CD56dimCD16pos-NK_MAPKAPK2_Unstim,0.005
Bcells_IkB_Unstim,0.0045
CD8Tcm_S6_Unstim,0.0045
ncMC_S6_Unstim,0.0045
intMC_S6_Unstim,0.0045
Eosino_NFkB_Unstim,0.0045
MDSC_IkB_Unstim,0.004
cMC_NFkB_Unstim,0.004
Treg_pSTAT6_Unstim,0.0035
mDC_CREB_Unstim,0.0035
Treg_S6_Unstim,0.0035
Th2_S6_Unstim,0.003
Tregmem_S6_Unstim,0.003
Eosino_IkB_Unstim,0.0025
Th2_IkB_Unstim,0.0025
CD4Tnaive_NFkB_Unstim,0.0025
Tregmem_pSTAT6_Unstim,0.0025
Bcells_MAPKAPK2_Unstim,0.0025
CD8Tnaive_NFkB_Unstim,0.002
Treg_IkB_Unstim,0.002
Tregmem_IkB_Unstim,0.0015
CD8Tem_NFkB_Unstim,0.0015
CD4Tcm_S6_Unstim,0.0015
Treg_NFkB_Unstim,0.001
Tregnaive_IkB_Unstim,0.001
intMC_CREB_Unstim,0.001
CD8Tem_S6_Unstim,0.001
CD4Tnaive_IkB_Unstim,0.001
NK-Tcells_S6_Unstim,0.001
CD4Tcm_NFkB_Unstim,0.0005
CD4Tem_S6_Unstim,0.0005
CD4Tcm_IkB_Unstim,0.0005
CD4Tem_NFkB_Unstim,0.0005
CD8Tem_IkB_Unstim,0.0005
Tregmem_NFkB_Unstim,0.0005
CD56dimCD16pos-NK_IkB_Unstim,0.0005
NK-Tcells_IkB_Unstim,0.0005
CD8Tcm_IkB_Unstim,0.0
Th17_NFkB_Unstim,0.0
CD4Tem_IkB_Unstim,0.0
Th17_IkB_Unstim,0.0
