,stimulation,population,feature,time,p.value,FDR
Unstim_Treg_ERK_V4b,Unstim,Treg,ERK,V4b,2.02E-06,0.00040902
Unstim_Tregmem_ERK_V4b,Unstim,Tregmem,ERK,V4b,2.53E-06,0.00040902
IL246_Th17_p38_V4a,IL246,Th17,p38,V4a,2.39E-05,0.05746102
IL246_Treg_p38_V4a,IL246,Treg,p38,V4a,0.000210508,0.177188751
IL246_CD56dimCD16pos-NK_p38_V4a,IL246,CD56dimCD16pos-NK,p38,V4a,0.000221025,0.177188751
IL246_CD4Tem_p38_V4a,IL246,CD4Tem,p38,V4a,0.000503332,0.200167215
IL246_Tregmem_p38_V4a,IL246,Tregmem,p38,V4a,0.000503332,0.200167215
IL246_CD4Tcm_p38_V4a,IL246,CD4Tcm,p38,V4a,0.000577964,0.200167215
IL246_CD4Tnaive_p38_V4a,IL246,CD4Tnaive,p38,V4a,0.000662413,0.200167215
IL246_Tregnaive_p38_V4a,IL246,Tregnaive,p38,V4a,0.00082809,0.200167215
IL246_CD8Trm_p38_V4a,IL246,CD8Trm,p38,V4a,0.000898696,0.200167215
PI_Bcells_pSTAT6_V4a,PI,Bcells,pSTAT6,V4a,0.000930172,0.200167215
TNFa_Eosino_p38_V4a,TNFa,Eosino,p38,V4a,0.000986239,0.200167215
IL246_Baso_p38_V4a,IL246,Baso,p38,V4a,0.00104243,0.200167215
IL246_NK-Tcells_p38_V4a,IL246,NK-Tcells,p38,V4a,0.001081985,0.200167215
PI_CD56dimCD16pos-NK_pSTAT6_V4a,PI,CD56dimCD16pos-NK,pSTAT6,V4a,0.001361556,0.231702929
IL246_CD56brightCD16neg-NK_p38_V4a,IL246,CD56brightCD16neg-NK,p38,V4a,0.001445133,0.231702929
Unstim_Tregmem_ERK_V5,Unstim,Tregmem,ERK,V5,0.001635802,0.302242224
Unstim_Treg_ERK_V5,Unstim,Treg,ERK,V5,0.001848576,0.302242224
LPS_pDC_ERK_V4a,LPS,pDC,ERK,V4a,0.002085591,0.295049778
Unstim_NK-Tcells_pSTAT6_V4a,Unstim,NK-Tcells,pSTAT6,V4a,0.002085591,0.295049778
IL1B_Th1_S6_V4a,IL1B,Th1,S6,V4a,0.00236356,0.310203146
IL246_Bcells_p38_V4a,IL246,Bcells,p38,V4a,0.002641983,0.310203146
Unstim_Treg_ERK_V4a,Unstim,Treg,ERK,V4a,0.002641983,0.310203146
PI_cMC_pSTAT6_V4a,PI,cMC,pSTAT6,V4a,0.002933126,0.310203146
IFNa_CD4Trm_MAPKAPK2_V4a,IFNa,CD4Trm,MAPKAPK2,V4a,0.0029666,0.310203146
Unstim_Tregmem_ERK_V4a,Unstim,Tregmem,ERK,V4a,0.0029666,0.310203146
Unstim_CD8Trm_ERK_V4b,Unstim,CD8Trm,ERK,V4b,0.003325948,0.300648242
PI_Th1naive_STAT3_V4a,PI,Th1naive,STAT3,V4a,0.00370218,0.335174282
IL246_CD8Tcm_p38_V4a,IL246,CD8Tcm,p38,V4a,0.003723198,0.335174282
Unstim_CD4Tcm_ERK_V4a,Unstim,CD4Tcm,ERK,V4a,0.003723198,0.335174282
Unstim_gdT_ERK_V4b,Unstim,gdT,ERK,V4b,0.003723198,0.300648242
PI_MDSC_pSTAT6_V4a,PI,MDSC,pSTAT6,V4a,0.003762871,0.335174282
Unstim_Granulocytes_ERK_V5,Unstim,Granulocytes,ERK,V5,0.0039059,0.379716954
Unstim_CD4Tnaive_ERK_V4a,Unstim,CD4Tnaive,ERK,V4a,0.004161629,0.345128196
Unstim_gdT_ERK_V4a,Unstim,gdT,ERK,V4a,0.004161629,0.345128196
PI_CD56brightCD16neg-NK_pSTAT6_V4a,PI,CD56brightCD16neg-NK,pSTAT6,V4a,0.004363366,0.349796545
Unstim_CD8Trm_ERK_V5,Unstim,CD8Trm,ERK,V5,0.004644856,0.379716954
TNFa_Th1_STAT1_V4a,TNFa,Th1,STAT1,V4a,0.005322048,0.394532368
IL246_Baso +++_p38_V4a,IL246,Baso +++,p38,V4a,0.005572206,0.394532368
Unstim_intMC_ERK_V4a,Unstim,intMC,ERK,V4a,0.005761,0.394532368
Unstim_Th1_MAPKAPK2_V4a,Unstim,Th1,MAPKAPK2,V4a,0.005761,0.394532368
PI_CD8Tnaive_S6_V4a,PI,CD8Tnaive,S6,V4a,0.006059906,0.394532368
IL246_CD8Tem_p38_V4a,IL246,CD8Tem,p38,V4a,0.006191874,0.394532368
Unstim_CD8Tem_ERK_V4a,Unstim,CD8Tem,ERK,V4a,0.006402233,0.394532368
Unstim_CD8Tem_pSTAT6_V4a,Unstim,CD8Tem,pSTAT6,V4a,0.006402233,0.394532368
Unstim_gdT_pSTAT6_V4a,Unstim,gdT,pSTAT6,V4a,0.006402233,0.394532368
LPS_CD8Trm_p38_V4a,LPS,CD8Trm,p38,V4a,0.006561869,0.394532368
PI_CD8Tnaive_CREB_V4a,PI,CD8Tnaive,CREB,V4a,0.006796852,0.398693389
IL246_mDC_ERK_V4a,IL246,mDC,ERK,V4a,0.007104922,0.406841377
Unstim_Baso +++_S6_V4b,Unstim,Baso +++,S6,V4b,0.007104922,0.458977972
Unstim_CD8Tnaive_STAT3_V5,Unstim,CD8Tnaive,STAT3,V5,0.007430479,0.463755433
PI_ncMC_pSTAT6_V4a,PI,ncMC,pSTAT6,V4a,0.007689714,0.43008751
Unstim_Th17_ERK_V4a,Unstim,Th17,ERK,V4a,0.007873804,0.430374977
IL246_gdT_p38_V4a,IL246,gdT,p38,V4a,0.008101904,0.433001766
Unstim_CD8Tem_ERK_V5,Unstim,CD8Tem,ERK,V5,0.00871403,0.463755433
PI_Baso +++_Frequency_V4a,PI,Baso +++,Frequency,V4a,0.009494498,0.482547343
IL246_Bcells_ERK_V4a,IL246,Bcells,ERK,V4a,0.009630883,0.482547343
Unstim_pDC_S6_V4a,Unstim,pDC,S6,V4a,0.009630883,0.482547343
PI_Th17_STAT3_V4a,PI,Th17,STAT3,V4a,0.010284684,0.502648478
PI_Baso_ERK_V4a,PI,Baso,ERK,V4a,0.01057885,0.502648478
TNFa_Th1mem_STAT1_V4a,TNFa,Th1mem,STAT1,V4a,0.010659074,0.502648478
Unstim_CD4Tcm_ERK_V4b,Unstim,CD4Tcm,ERK,V4b,0.011717458,0.572603229
Unstim_CD4Tcm_ERK_V5,Unstim,CD4Tcm,ERK,V5,0.011717458,0.463755433
Unstim_Th2_ERK_V5,Unstim,Th2,ERK,V5,0.011717458,0.463755433
PI_ncMC_STAT5_V4a,PI,ncMC,STAT5,V4a,0.01176827,0.538396483
PI_Th1_STAT3_V4a,PI,Th1,STAT3,V4a,0.011864871,0.538396483
TNFa_CD8Tcm_p38_V4a,TNFa,CD8Tcm,p38,V4a,0.012899333,0.561342813
Unstim_NK-Tcells_ERK_V5,Unstim,NK-Tcells,ERK,V5,0.012899333,0.463755433
PI_CD8Tcm_CREB_V4a,PI,CD8Tcm,CREB,V4a,0.013070768,0.561342813
PI_Tregmem_Frequency_V4a,PI,Tregmem,Frequency,V4a,0.013070768,0.561342813
IL246_CD8Trm_STAT5_V4a,IL246,CD8Trm,STAT5,V4a,0.014182123,0.562262432
Unstim_CD8Trm_ERK_V4a,Unstim,CD8Trm,ERK,V4a,0.014182123,0.562262432
Unstim_gdT_NFkB_V4a,Unstim,gdT,NFkB,V4a,0.014182123,0.562262432
Unstim_CD4Tnaive_ERK_V4b,Unstim,CD4Tnaive,ERK,V4b,0.014182123,0.572603229
Unstim_CD8Trm_pSTAT6_V4b,Unstim,CD8Trm,pSTAT6,V4b,0.014182123,0.572603229
Unstim_gdT_ERK_V5,Unstim,gdT,ERK,V5,0.014182123,0.463755433
PI_Baso_Frequency_V4a,PI,Baso,Frequency,V4a,0.014494915,0.562262432
PI_CD8Tcm_ERK_V4a,PI,CD8Tcm,ERK,V4a,0.014494915,0.562262432
PI_mDC_ERK_V4a,PI,mDC,ERK,V4a,0.014494915,0.562262432
Unstim_Th1naive_STAT3_V4a,Unstim,Th1naive,STAT3,V4a,0.015372857,0.584835973
Unstim_Th1naive_MAPKAPK2_V4a,Unstim,Th1naive,MAPKAPK2,V4a,0.015572731,0.584835973
PI_CD4Tcm_CREB_V4a,PI,CD4Tcm,CREB,V4a,0.016049553,0.584835973
PI_CD4Tnaive_p38_V4a,PI,CD4Tnaive,p38,V4a,0.016049553,0.584835973
Unstim_intMC_ERK_V5,Unstim,intMC,ERK,V5,0.017078171,0.465380164
Unstim_Th1_pSTAT6_V5,Unstim,Th1,pSTAT6,V5,0.017078171,0.465380164
PI_CD8Tnaive_ERK_V4a,PI,CD8Tnaive,ERK,V4a,0.017744087,0.614646797
PI_ncMC_ERK_V4a,PI,ncMC,ERK,V4a,0.017744087,0.614646797
PI_Th17_CREB_V4a,PI,Th17,CREB,V4a,0.017744087,0.614646797
IL246_Th2_p38_V4a,IL246,Th2,p38,V4a,0.018705941,0.614646797
Unstim_cMC_ERK_V5,Unstim,cMC,ERK,V5,0.018705941,0.470526369
LPS_gdT_p38_V4a,LPS,gdT,p38,V4a,0.018948257,0.614646797
IL1B_MDSC_p38_V4a,IL1B,MDSC,p38,V4a,0.020418115,0.614646797
IFNa_pDC_Frequency_V4a,IFNa,pDC,Frequency,V4a,0.020463641,0.614646797
LPS_Eosino_MAPKAPK2_V4a,LPS,Eosino,MAPKAPK2,V4a,0.020463641,0.614646797
TNFa_pDC_S6_V4a,TNFa,pDC,S6,V4a,0.020463641,0.614646797
Unstim_CD8Trm_pSTAT6_V4a,Unstim,CD8Trm,pSTAT6,V4a,0.020463641,0.614646797
Unstim_NK-Tcells_NFkB_V4a,Unstim,NK-Tcells,NFkB,V4a,0.020463641,0.614646797
PI_CD4Tnaive_ERK_V4a,PI,CD4Tnaive,ERK,V4a,0.0215921,0.614646797
IFNa_Baso_NFkB_V4a,IFNa,Baso,NFkB,V4a,0.02235937,0.614646797
TNFa_Bcells_p38_V4a,TNFa,Bcells,p38,V4a,0.02235937,0.614646797
TNFa_Th17_p38_V4a,TNFa,Th17,p38,V4a,0.02235937,0.614646797
Unstim_CD8Tem_NFkB_V4a,Unstim,CD8Tem,NFkB,V4a,0.02235937,0.614646797
Unstim_Eosino_ERK_V5,Unstim,Eosino,ERK,V5,0.02235937,0.487434271
Unstim_Th2_pSTAT6_V5,Unstim,Th2,pSTAT6,V5,0.02235937,0.487434271
TNFa_CD8Tnaive_p38_V4a,TNFa,CD8Tnaive,p38,V4a,0.022719084,0.614646797
PI_Eosino_IkB_V4a,PI,Eosino,IkB,V4a,0.023766301,0.614646797
PI_Treg_Frequency_V4a,PI,Treg,Frequency,V4a,0.023766301,0.614646797
PI_Tregmem_p38_V4a,PI,Tregmem,p38,V4a,0.023766301,0.614646797
PI_CD4Tcm_STAT3_V4a,PI,CD4Tcm,STAT3,V4a,0.024076783,0.614646797
IFNa_Th17_IkB_V4a,IFNa,Th17,IkB,V4a,0.024401295,0.614646797
IL246_intMC_p38_V4a,IL246,intMC,p38,V4a,0.024401295,0.614646797
Unstim_CD4Tcm_pSTAT6_V4a,Unstim,CD4Tcm,pSTAT6,V4a,0.024401295,0.614646797
IL1B_mDC_p38_V4a,IL1B,mDC,p38,V4a,0.02453977,0.614646797
LPS_CD8Tem_p38_V4a,LPS,CD8Tem,p38,V4a,0.025522741,0.614646797
PI_CD8Tcm_p38_V4a,PI,CD8Tcm,p38,V4a,0.026121846,0.614646797
PI_CD8Tnaive_p38_V4a,PI,CD8Tnaive,p38,V4a,0.026121846,0.614646797
PI_Treg_p38_V4a,PI,Treg,p38,V4a,0.026121846,0.614646797
PI_Tregmem_CREB_V4a,PI,Tregmem,CREB,V4a,0.026121846,0.614646797
IL246_Eosino_p38_V4a,IL246,Eosino,p38,V4a,0.026598093,0.614646797
Unstim_Tregnaive_STAT5_V4a,Unstim,Tregnaive,STAT5,V4a,0.026598093,0.614646797
Unstim_Baso_S6_V4b,Unstim,Baso,S6,V4b,0.026598093,0.636129638
Unstim_Granulocytes_STAT5_V5,Unstim,Granulocytes,STAT5,V5,0.028368852,0.551649495
PI_CD4Tem_ERK_V4a,PI,CD4Tem,ERK,V4a,0.028670002,0.614646797
PI_CD4Tnaive_CREB_V4a,PI,CD4Tnaive,CREB,V4a,0.028670002,0.614646797
PI_CD56brightCD16neg-NK_S6_V4a,PI,CD56brightCD16neg-NK,S6,V4a,0.028670002,0.614646797
PI_CD8Tnaive_MAPKAPK2_V4a,PI,CD8Tnaive,MAPKAPK2,V4a,0.028670002,0.614646797
PI_ncMC_CREB_V4a,PI,ncMC,CREB,V4a,0.028670002,0.614646797
PI_Treg_CREB_V4a,PI,Treg,CREB,V4a,0.028670002,0.614646797
TNFa_CD4Tcm_p38_V4a,TNFa,CD4Tcm,p38,V4a,0.028958489,0.614646797
TNFa_CD56dimCD16pos-NK_p38_V4a,TNFa,CD56dimCD16pos-NK,p38,V4a,0.028958489,0.614646797
Unstim_CD4Tem_ERK_V4a,Unstim,CD4Tem,ERK,V4a,0.028958489,0.614646797
Unstim_CD8Tcm_ERK_V4a,Unstim,CD8Tcm,ERK,V4a,0.028958489,0.614646797
Unstim_CD8Tnaive_NFkB_V4a,Unstim,CD8Tnaive,NFkB,V4a,0.028958489,0.614646797
Unstim_Th17_NFkB_V4a,Unstim,Th17,NFkB,V4a,0.028958489,0.614646797
IL1B_Th1_STAT5_V4a,IL1B,Th1,STAT5,V4a,0.029339844,0.614646797
Unstim_Th1naive_ERK_V4b,Unstim,Th1naive,ERK,V4b,0.029716374,0.636129638
PI_Baso +++_ERK_V4a,PI,Baso +++,ERK,V4a,0.03142258,0.614646797
PI_Baso +++_S6_V4a,PI,Baso +++,S6,V4a,0.03142258,0.614646797
PI_CD56dimCD16pos-NK_ERK_V4a,PI,CD56dimCD16pos-NK,ERK,V4a,0.03142258,0.614646797
PI_Eosino_CREB_V4a,PI,Eosino,CREB,V4a,0.03142258,0.614646797
LPS_Baso +++_Frequency_V4a,LPS,Baso +++,Frequency,V4a,0.031491702,0.614646797
LPS_CD4Tnaive_p38_V4a,LPS,CD4Tnaive,p38,V4a,0.031491702,0.614646797
Unstim_Baso_NFkB_V4a,Unstim,Baso,NFkB,V4a,0.031491702,0.614646797
Unstim_Baso +++_NFkB_V4a,Unstim,Baso +++,NFkB,V4a,0.031491702,0.614646797
Unstim_CD8Tcm_Frequency_V4a,Unstim,CD8Tcm,Frequency,V4a,0.031491702,0.614646797
Unstim_Granulocytes_S6_V4a,Unstim,Granulocytes,S6,V4a,0.031491702,0.614646797
Unstim_mDC_CREB_V4b,Unstim,mDC,CREB,V4b,0.031491702,0.636129638
Unstim_pDC_S6_V4b,Unstim,pDC,S6,V4b,0.031491702,0.636129638
Unstim_CD4Tnaive_ERK_V5,Unstim,CD4Tnaive,ERK,V5,0.031491702,0.551649495
IL1B_pDC_IkB_V4a,IL1B,pDC,IkB,V4a,0.032019706,0.614646797
PI_Th1mem_STAT1_V4a,PI,Th1mem,STAT1,V4a,0.032066544,0.614646797
Unstim_CD8Trm_NFkB_V4a,Unstim,CD8Trm,NFkB,V4a,0.034206971,0.614646797
Unstim_ncMC_NFkB_V4a,Unstim,ncMC,NFkB,V4a,0.034206971,0.614646797
Unstim_CD8Tnaive_ERK_V4b,Unstim,CD8Tnaive,ERK,V4b,0.034206971,0.636129638
Unstim_CD8Trm_pSTAT6_V5,Unstim,CD8Trm,pSTAT6,V5,0.034206971,0.551649495
Unstim_NK-Tcells_Frequency_V5,Unstim,NK-Tcells,Frequency,V5,0.034206971,0.551649495
Unstim_Tregnaive_STAT3_V5,Unstim,Tregnaive,STAT3,V5,0.034206971,0.551649495
PI_CD56brightCD16neg-NK_CREB_V4a,PI,CD56brightCD16neg-NK,CREB,V4a,0.034391581,0.614646797
PI_CD8Tem_S6_V4a,PI,CD8Tem,S6,V4a,0.034391581,0.614646797
Unstim_Th1_STAT5_V4a,Unstim,Th1,STAT5,V4a,0.036663402,0.614646797
IL1B_Granulocytes_p38_V4a,IL1B,Granulocytes,p38,V4a,0.036920136,0.614646797
IFNa_cMC_p38_V4a,IFNa,cMC,p38,V4a,0.037114033,0.614646797
IFNa_NK-Tcells_MAPKAPK2_V4a,IFNa,NK-Tcells,MAPKAPK2,V4a,0.037114033,0.614646797
IFNa_Tregmem_p38_V4a,IFNa,Tregmem,p38,V4a,0.037114033,0.614646797
LPS_CD4Tem_p38_V4a,LPS,CD4Tem,p38,V4a,0.037114033,0.614646797
LPS_CD8Tnaive_p38_V4a,LPS,CD8Tnaive,p38,V4a,0.037114033,0.614646797
TNFa_gdT_p38_V4a,TNFa,gdT,p38,V4a,0.037114033,0.614646797
Unstim_Baso +++_NFkB_V4b,Unstim,Baso +++,NFkB,V4b,0.037114033,0.636129638
Unstim_NK-Tcells_pSTAT6_V5,Unstim,NK-Tcells,pSTAT6,V5,0.037114033,0.551649495
Unstim_Th1naive_MAPKAPK2_V5,Unstim,Th1naive,MAPKAPK2,V5,0.037114033,0.551649495
PI_Baso_p38_V4a,PI,Baso,p38,V4a,0.037589524,0.614646797
PI_CD4Tem_CREB_V4a,PI,CD4Tem,CREB,V4a,0.037589524,0.614646797
PI_CD8Tem_CREB_V4a,PI,CD8Tem,CREB,V4a,0.037589524,0.614646797
LPS_CD56dimCD16pos-NK_p38_V4a,LPS,CD56dimCD16pos-NK,p38,V4a,0.037645067,0.614646797
IFNa_pDC_S6_V4a,IFNa,pDC,S6,V4a,0.037992391,0.614646797
LPS_Tregnaive_p38_V4a,LPS,Tregnaive,p38,V4a,0.038222408,0.614646797
Unstim_Granulocytes_ERK_V4a,Unstim,Granulocytes,ERK,V4a,0.039721559,0.614646797
IL246_CD8Tnaive_p38_V4a,IL246,CD8Tnaive,p38,V4a,0.040222585,0.614646797
LPS_Th1_p38_V4a,LPS,Th1,p38,V4a,0.040222585,0.614646797
Unstim_CD4Tem_S6_V4a,Unstim,CD4Tem,S6,V4a,0.040222585,0.614646797
Unstim_NK-Tcells_ERK_V4a,Unstim,NK-Tcells,ERK,V4a,0.040222585,0.614646797
Unstim_Th1_IkB_V4b,Unstim,Th1,IkB,V4b,0.040222585,0.636129638
Unstim_Th17_ERK_V5,Unstim,Th17,ERK,V5,0.040222585,0.571860226
PI_Bcells_ERK_V4a,PI,Bcells,ERK,V4a,0.041029057,0.614646797
PI_CD8Tem_p38_V4a,PI,CD8Tem,p38,V4a,0.041029057,0.614646797
PI_cMC_p38_V4a,PI,cMC,p38,V4a,0.041029057,0.614646797
PI_Eosino_p38_V4a,PI,Eosino,p38,V4a,0.041029057,0.614646797
PI_NK-Tcells_CREB_V4a,PI,NK-Tcells,CREB,V4a,0.041029057,0.614646797
PI_Th2_CREB_V4a,PI,Th2,CREB,V4a,0.041029057,0.614646797
PI_Th2_p38_V4a,PI,Th2,p38,V4a,0.041029057,0.614646797
TNFa_CD4Tnaive_p38_V4a,TNFa,CD4Tnaive,p38,V4a,0.04115112,0.614646797
IL1B_CD4Trm_ERK_V4a,IL1B,CD4Trm,ERK,V4a,0.041307422,0.614646797
IL1B_Treg_STAT5_V4a,IL1B,Treg,STAT5,V4a,0.041307422,0.614646797
PI_Th1_STAT5_V4a,PI,Th1,STAT5,V4a,0.042547533,0.614646797
IL246_Tregmem_STAT5_V4a,IL246,Tregmem,STAT5,V4a,0.043542815,0.614646797
LPS_CD8Trm_S6_V4a,LPS,CD8Trm,S6,V4a,0.043542815,0.614646797
LPS_Th1mem_STAT5_V4a,LPS,Th1mem,STAT5,V4a,0.043542815,0.614646797
Unstim_Th2_ERK_V4a,Unstim,Th2,ERK,V4a,0.043542815,0.614646797
Unstim_Eosino_S6_V4b,Unstim,Eosino,S6,V4b,0.043542815,0.636129638
Unstim_intMC_ERK_V4b,Unstim,intMC,ERK,V4b,0.043542815,0.636129638
Unstim_NK-Tcells_pSTAT6_V4b,Unstim,NK-Tcells,pSTAT6,V4b,0.043542815,0.636129638
Unstim_CD4Tem_ERK_V5,Unstim,CD4Tem,ERK,V5,0.043542815,0.593270858
IL246_Th1naive_STAT5_V4a,IL246,Th1naive,STAT5,V4a,0.044723313,0.614646797
PI_Baso_CREB_V4a,PI,Baso,CREB,V4a,0.044723313,0.614646797
PI_CD4Tcm_S6_V4a,PI,CD4Tcm,S6,V4a,0.044723313,0.614646797
PI_CD4Tem_p38_V4a,PI,CD4Tem,p38,V4a,0.044723313,0.614646797
PI_CD4Tnaive_S6_V4a,PI,CD4Tnaive,S6,V4a,0.044723313,0.614646797
PI_CD56dimCD16pos-NK_CREB_V4a,PI,CD56dimCD16pos-NK,CREB,V4a,0.044723313,0.614646797
PI_CD8Tcm_MAPKAPK2_V4a,PI,CD8Tcm,MAPKAPK2,V4a,0.044723313,0.614646797
PI_CD8Tem_ERK_V4a,PI,CD8Tem,ERK,V4a,0.044723313,0.614646797
IL1B_CD8Tcm_Frequency_V4a,IL1B,CD8Tcm,Frequency,V4a,0.044856918,0.614646797
IFNa_Th1_ERK_V4a,IFNa,Th1,ERK,V4a,0.047084832,0.614646797
IL246_CD8Tem_STAT5_V4a,IL246,CD8Tem,STAT5,V4a,0.047084832,0.614646797
Unstim_CD4Tem_NFkB_V4a,Unstim,CD4Tem,NFkB,V4a,0.047084832,0.614646797
Unstim_CD4Tnaive_NFkB_V4a,Unstim,CD4Tnaive,NFkB,V4a,0.047084832,0.614646797
Unstim_cMC_CREB_V4b,Unstim,cMC,CREB,V4b,0.047084832,0.636129638
Unstim_gdT_NFkB_V4b,Unstim,gdT,NFkB,V4b,0.047084832,0.636129638
Unstim_ncMC_Frequency_V5,Unstim,ncMC,Frequency,V5,0.047084832,0.615869604
LPS_Th1_STAT3_V4a,LPS,Th1,STAT3,V4a,0.047191548,0.614646797
PI_Baso_S6_V4a,PI,Baso,S6,V4a,0.048685504,0.614646797
PI_Baso +++_p38_V4a,PI,Baso +++,p38,V4a,0.048685504,0.614646797
PI_Bcells_CREB_V4a,PI,Bcells,CREB,V4a,0.048685504,0.614646797
PI_Bcells_p38_V4a,PI,Bcells,p38,V4a,0.048685504,0.614646797
PI_CD56brightCD16neg-NK_p38_V4a,PI,CD56brightCD16neg-NK,p38,V4a,0.048685504,0.614646797
PI_ncMC_p38_V4a,PI,ncMC,p38,V4a,0.048685504,0.614646797
PI_Treg_S6_V4a,PI,Treg,S6,V4a,0.048685504,0.614646797
PI_Baso_STAT3_V4a,PI,Baso,STAT3,V4a,0.04954317,0.614646797
IL246_Th1naive_STAT3_V4a,IL246,Th1naive,STAT3,V4a,0.049596077,0.614646797
Unstim_Th1naive_pSTAT6_V4b,Unstim,Th1naive,pSTAT6,V4b,0.050352563,0.636129638
LPS_Th1naive_STAT3_V4a,LPS,Th1naive,STAT3,V4a,0.050466004,0.614646797
IFNa_MDSC_p38_V4a,IFNa,MDSC,p38,V4a,0.050859203,0.614646797
IL246_CD4Tcm_STAT5_V4a,IL246,CD4Tcm,STAT5,V4a,0.050859203,0.614646797
Unstim_CD4Tcm_NFkB_V4a,Unstim,CD4Tcm,NFkB,V4a,0.050859203,0.614646797
Unstim_intMC_CREB_V4b,Unstim,intMC,CREB,V4b,0.050859203,0.636129638
Unstim_Granulocytes_CREB_V5,Unstim,Granulocytes,CREB,V5,0.050859203,0.639652278
IL1B_Th1naive_STAT3_V4a,IL1B,Th1naive,STAT3,V4a,0.051225704,0.614646797
IFNa_Eosino_STAT3_V4a,IFNa,Eosino,STAT3,V4a,0.052706055,0.614646797
PI_gdT_S6_V4a,PI,gdT,S6,V4a,0.052929265,0.614646797
PI_NK-Tcells_IkB_V4a,PI,NK-Tcells,IkB,V4a,0.052929265,0.614646797
PI_Th17_ERK_V4a,PI,Th17,ERK,V4a,0.052929265,0.614646797
PI_Th17_p38_V4a,PI,Th17,p38,V4a,0.052929265,0.614646797
IL1B_Th2_p38_V4a,IL1B,Th2,p38,V4a,0.053269242,0.614646797
Unstim_Granulocytes_ERK_V4b,Unstim,Granulocytes,ERK,V4b,0.053719727,0.636129638
IFNa_CD8Tnaive_CREB_V4a,IFNa,CD8Tnaive,CREB,V4a,0.05487636,0.614646797
IFNa_Th2_IkB_V4a,IFNa,Th2,IkB,V4a,0.05487636,0.614646797
IFNa_Treg_p38_V4a,IFNa,Treg,p38,V4a,0.05487636,0.614646797
TNFa_CD4Tcm_Frequency_V4a,TNFa,CD4Tcm,Frequency,V4a,0.05487636,0.614646797
TNFa_CD4Tem_p38_V4a,TNFa,CD4Tem,p38,V4a,0.05487636,0.614646797
Unstim_Eosino_NFkB_V4a,Unstim,Eosino,NFkB,V4a,0.05487636,0.614646797
Unstim_Th17_pSTAT6_V4a,Unstim,Th17,pSTAT6,V4a,0.05487636,0.614646797
Unstim_Treg_NFkB_V4a,Unstim,Treg,NFkB,V4a,0.05487636,0.614646797
Unstim_MDSC_CREB_V4b,Unstim,MDSC,CREB,V4b,0.05487636,0.636129638
Unstim_ncMC_Frequency_V4b,Unstim,ncMC,Frequency,V4b,0.05487636,0.636129638
Unstim_Th17_ERK_V4b,Unstim,Th17,ERK,V4b,0.05487636,0.636129638
Unstim_CD4Tem_pSTAT6_V5,Unstim,CD4Tem,pSTAT6,V5,0.05487636,0.664613691
Unstim_Treg_STAT5_V4a,Unstim,Treg,STAT5,V4a,0.055539939,0.614646797
TNFa_Th1_MAPKAPK2_V4a,TNFa,Th1,MAPKAPK2,V4a,0.057029686,0.614646797
Unstim_pDC_ERK_V4a,Unstim,pDC,ERK,V4a,0.057091979,0.614646797
PI_CD4Tcm_p38_V4a,PI,CD4Tcm,p38,V4a,0.057468242,0.614646797
PI_CD8Tcm_IkB_V4a,PI,CD8Tcm,IkB,V4a,0.057468242,0.614646797
PI_CD8Trm_CREB_V4a,PI,CD8Trm,CREB,V4a,0.057468242,0.614646797
PI_gdT_CREB_V4a,PI,gdT,CREB,V4a,0.057468242,0.614646797
PI_intMC_pSTAT6_V4a,PI,intMC,pSTAT6,V4a,0.057468242,0.614646797
PI_MDSC_p38_V4a,PI,MDSC,p38,V4a,0.057468242,0.614646797
TNFa_Tregmem_p38_V4a,TNFa,Tregmem,p38,V4a,0.057638387,0.614646797
PI_Tregnaive_CREB_V4a,PI,Tregnaive,CREB,V4a,0.057887544,0.614646797
PI_Tregnaive_MAPKAPK2_V4a,PI,Tregnaive,MAPKAPK2,V4a,0.057887544,0.614646797
IFNa_Baso_p38_V4a,IFNa,Baso,p38,V4a,0.059147179,0.614646797
IFNa_CD4Tcm_p38_V4a,IFNa,CD4Tcm,p38,V4a,0.059147179,0.614646797
IFNa_Th17_p38_V4a,IFNa,Th17,p38,V4a,0.059147179,0.614646797
IL246_CD4Tem_STAT5_V4a,IL246,CD4Tem,STAT5,V4a,0.059147179,0.614646797
IL246_Treg_STAT5_V4a,IL246,Treg,STAT5,V4a,0.059147179,0.614646797
TNFa_CD4Tem_Frequency_V4a,TNFa,CD4Tem,Frequency,V4a,0.059147179,0.614646797
TNFa_Th2_p38_V4a,TNFa,Th2,p38,V4a,0.059147179,0.614646797
Unstim_Baso_IkB_V4a,Unstim,Baso,IkB,V4a,0.059147179,0.614646797
Unstim_Baso +++_STAT5_V4a,Unstim,Baso +++,STAT5,V4a,0.059147179,0.614646797
Unstim_Bcells_NFkB_V4a,Unstim,Bcells,NFkB,V4a,0.059147179,0.614646797
Unstim_MDSC_S6_V4a,Unstim,MDSC,S6,V4a,0.059147179,0.614646797
Unstim_NK-Tcells_IkB_V4a,Unstim,NK-Tcells,IkB,V4a,0.059147179,0.614646797
Unstim_Tregmem_NFkB_V4a,Unstim,Tregmem,NFkB,V4a,0.059147179,0.614646797
Unstim_Baso_NFkB_V4b,Unstim,Baso,NFkB,V4b,0.059147179,0.636129638
Unstim_Th1naive_STAT5_V4a,Unstim,Th1naive,STAT5,V4a,0.059752177,0.614646797
