,Max Proba
Bcells_NFkB_Unstim,0.0105
cMC_MAPKAPK2_Unstim,0.01
CD4Tem_S6_Unstim,0.0095
CD4Tnaive_NFkB_Unstim,0.0095
cMC_S6_Unstim,0.0095
CD4Tnaive_IkB_Unstim,0.0095
Th17_NFkB_Unstim,0.0085
Th17_S6_Unstim,0.008
intMC_S6_Unstim,0.008
CD8Tcm_IkB_Unstim,0.0075
CD8Tcm_S6_Unstim,0.007
CD4Tcm_IkB_Unstim,0.006
CD4Tem_NFkB_Unstim,0.005
intMC_MAPKAPK2_Unstim,0.005
NK-Tcells_IkB_Unstim,0.0045
Treg_IkB_Unstim,0.0045
CD8Trm_IkB_Unstim,0.004
Tregmem_IkB_Unstim,0.004
Eosino_IkB_Unstim,0.004
CD4Tcm_S6_Unstim,0.003
Th17_IkB_Unstim,0.003
CD56dimCD16pos-NK_S6_Unstim,0.0025
Bcells_IkB_Unstim,0.002
CD4Tcm_NFkB_Unstim,0.002
Tregmem_NFkB_Unstim,0.001
CD4Tem_IkB_Unstim,0.001
Treg_NFkB_Unstim,0.0005
