,Max Proba
Baso_IkB_Unstim,0.0145
MDSC_STAT3_Unstim,0.0145
CD4Tnaive_STAT5_Unstim,0.0145
NK-Tcells_CREB_Unstim,0.0135
CD4Tcm_CREB_Unstim,0.0135
CD4Tnaive_MAPKAPK2_Unstim,0.012
mDC_CREB_Unstim,0.011
Granulocytes_IkB_Unstim,0.011
Tregmem_Frequency_Unstim,0.01
CD8Trm_CREB_Unstim,0.0095
CD8Trm_MAPKAPK2_Unstim,0.0095
CD4Trm_IkB_Unstim,0.0095
pDC_IkB_Unstim,0.0095
cMC_ERK_Unstim,0.0095
gdT_S6_Unstim,0.0095
CD8Tcm_S6_Unstim,0.0085
Th17_NFkB_Unstim,0.008
mDC_NFkB_Unstim,0.008
CD4Trm_CREB_Unstim,0.0075
CD8Tnaive_CREB_Unstim,0.0075
Eosino_MAPKAPK2_Unstim,0.007
CD8Tcm_NFkB_Unstim,0.0065
Tregmem_IkB_Unstim,0.0065
Tregnaive_IkB_Unstim,0.0065
CD8Trm_S6_Unstim,0.0065
Treg_pSTAT6_Unstim,0.006
Baso_CREB_Unstim,0.0055
Th17_CREB_Unstim,0.0055
CD4Tem_NFkB_Unstim,0.0055
cMC_MAPKAPK2_Unstim,0.005
intMC_p38_Unstim,0.005
CD8Tem_MAPKAPK2_Unstim,0.005
CD4Tem_MAPKAPK2_Unstim,0.005
cMC_CREB_Unstim,0.0045
CD4Tnaive_NFkB_Unstim,0.0045
MDSC_ERK_Unstim,0.0045
Treg_NFkB_Unstim,0.004
Tregmem_NFkB_Unstim,0.004
MDSC_CREB_Unstim,0.004
intMC_IkB_Unstim,0.0035
Bcells_NFkB_Unstim,0.003
Tregmem_pSTAT6_Unstim,0.003
CD56dimCD16pos-NK_CREB_Unstim,0.003
ncMC_S6_Unstim,0.003
Baso +++_IkB_Unstim,0.0025
MDSC_NFkB_Unstim,0.0025
NK-Tcells_IkB_Unstim,0.002
NK-Tcells_MAPKAPK2_Unstim,0.002
Treg_IkB_Unstim,0.002
Baso +++_CREB_Unstim,0.0015
CD4Tcm_MAPKAPK2_Unstim,0.0015
Th17_MAPKAPK2_Unstim,0.001
intMC_MAPKAPK2_Unstim,0.001
Tregmem_MAPKAPK2_Unstim,0.001
ncMC_IkB_Unstim,0.001
cMC_S6_Unstim,0.001
Treg_MAPKAPK2_Unstim,0.001
ncMC_CREB_Unstim,0.001
Th17_IkB_Unstim,0.001
CD4Tcm_IkB_Unstim,0.0005
CD8Tnaive_IkB_Unstim,0.0005
CD8Trm_IkB_Unstim,0.0005
CD56dimCD16pos-NK_MAPKAPK2_Unstim,0.0005
Bcells_IkB_Unstim,0.0005
CD4Tcm_NFkB_Unstim,0.0005
CD4Tem_IkB_Unstim,0.0005
CD4Tnaive_IkB_Unstim,0.0005
NK-Tcells_S6_Unstim,0.0005
CD8Tcm_IkB_Unstim,0.0
CD56dimCD16pos-NK_IkB_Unstim,0.0
intMC_S6_Unstim,0.0
intMC_CREB_Unstim,0.0
CD8Tem_IkB_Unstim,0.0
